                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4182,                 1.8426,                 1.1855,                 0.4677,                0.36318,                0.39399,                0.24624,                 1.1707,                0.98817,                 1.0847,               0.067117,             0.00033215,             0.00033215
                      1,                  1.207,                 1.0049,                 1.0621,                0.65633,                0.48548,                0.55287,                0.35309,                 1.0695,                0.77804,                 1.0334,               0.034117,             0.00066483,             0.00066483
                      2,                  1.157,                 0.8933,                 1.0394,                0.69185,                0.56459,                0.60797,                0.39717,                 1.0381,                0.71004,                 1.0211,              0.0011135,             0.00099492,             0.00099492
                      3,                 1.1318,                0.81605,                 1.0242,                 0.6945,                0.60865,                0.64663,                0.42315,                 1.0248,                0.67183,                 1.0079,             0.00099123,             0.00099123,             0.00099123
                      4,                 1.1141,                0.76849,                 1.0105,                0.73534,                0.62508,                0.68969,                0.46646,                0.99841,                0.64103,                 1.0015,             0.00099123,             0.00099123,             0.00099123
                      5,                 1.0849,                0.73801,                 1.0013,                0.71803,                0.66728,                0.69864,                0.47475,                0.98454,                0.62265,                0.98631,             0.00098445,             0.00098445,             0.00098445
                      6,                  1.063,                0.70634,                0.99108,                0.73849,                0.67325,                0.72836,                0.48589,                0.97746,                0.61365,                0.99188,             0.00097577,             0.00097577,             0.00097577
                      7,                 1.0547,                0.68444,                0.98822,                0.79527,                0.66971,                0.73702,                0.50291,                0.96024,                0.59272,                0.99205,             0.00096524,             0.00096524,             0.00096524
                      8,                 1.0329,                0.67098,                0.98881,                0.74697,                0.71649,                 0.7523,                 0.5227,                0.95011,                0.58056,                0.99199,             0.00095289,             0.00095289,             0.00095289
                      9,                 1.0142,                0.65397,                0.97934,                0.78364,                0.69468,                0.75247,                0.52289,                0.94204,                0.57788,                0.97692,             0.00093877,             0.00093877,             0.00093877
                     10,                 1.0091,                 0.6441,                0.97612,                0.77773,                 0.7201,                0.76301,                0.52888,                0.92452,                0.56924,                0.97459,             0.00092294,             0.00092294,             0.00092294
                     11,                0.99723,                0.63474,                 0.9697,                0.76721,                0.72667,                0.76968,                0.54151,                0.91706,                0.55688,                 0.9713,             0.00090546,             0.00090546,             0.00090546
                     12,                0.99792,                0.63314,                 0.9653,                0.76754,                0.73056,                0.77741,                0.53801,                0.91414,                0.56327,                0.96696,              0.0008864,              0.0008864,              0.0008864
                     13,                0.98353,                0.61344,                0.96284,                0.79911,                0.72922,                0.78425,                0.55451,                0.90281,                0.54255,                0.96481,             0.00086584,             0.00086584,             0.00086584
                     14,                0.96826,                0.60642,                 0.9598,                0.78748,                0.74056,                0.78511,                0.55566,                0.89591,                0.53881,                 0.9592,             0.00084385,             0.00084385,             0.00084385
                     15,                0.95574,                0.59476,                0.95126,                0.76494,                0.77243,                0.80191,                0.57441,                0.88627,                0.53383,                0.95422,             0.00082052,             0.00082052,             0.00082052
                     16,                0.95122,                0.58581,                0.94998,                0.81563,                0.73717,                0.79982,                0.57155,                0.88677,                0.53582,                0.96373,             0.00079595,             0.00079595,             0.00079595
                     17,                0.94772,                0.58362,                0.95136,                0.80337,                0.75458,                 0.8038,                0.57367,                0.89424,                0.53175,                0.96127,             0.00077023,             0.00077023,             0.00077023
