                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     18,                0.94166,                0.58144,                0.94608,                0.79788,                0.76685,                0.80967,                0.57731,                 0.8651,                0.51587,                0.95023,             0.00074347,             0.00074347,             0.00074347
                     19,                0.92844,                0.57235,                0.94645,                0.80691,                0.78514,                0.81841,                0.58513,                0.87502,                0.51771,                0.95775,             0.00071576,             0.00071576,             0.00071576
                     20,                0.91736,                0.55971,                0.94167,                0.81847,                 0.7548,                0.81082,                0.57799,                0.86829,                0.51258,                0.95273,             0.00068722,             0.00068722,             0.00068722
                     21,                0.91028,                0.55645,                0.93746,                0.81844,                0.77803,                0.82129,                0.58906,                 0.8517,                0.50374,                0.94521,             0.00065796,             0.00065796,             0.00065796
                     22,                0.90426,                0.55083,                0.93355,                0.78351,                0.79651,                 0.8192,                0.59036,                0.84907,                0.50048,                 0.9473,              0.0006281,              0.0006281,              0.0006281
                     23,                0.89469,                 0.5421,                  0.933,                0.83011,                0.78289,                0.82744,                0.59479,                0.84549,                0.49714,                0.94872,             0.00059775,             0.00059775,             0.00059775
                     24,                0.89456,                0.54318,                0.93278,                0.80856,                0.78598,                0.81712,                0.59222,                0.84046,                0.49276,                0.94624,             0.00056704,             0.00056704,             0.00056704
                     25,                0.88088,                0.53427,                0.93194,                0.82925,                0.78917,                0.82626,                0.59925,                0.83436,                0.48979,                0.94504,             0.00053608,             0.00053608,             0.00053608
                     26,                0.88611,                0.53379,                0.92822,                0.83898,                0.78914,                0.83037,                0.60941,                0.83859,                0.48861,                 0.9446,               0.000505,               0.000505,               0.000505
                     27,                0.88195,                0.53104,                0.92967,                0.82936,                0.79892,                0.83297,                0.61213,                0.83276,                0.48229,                0.94065,             0.00047392,             0.00047392,             0.00047392
                     28,                0.86997,                0.52404,                0.92267,                0.83636,                0.79279,                0.83581,                0.61561,                 0.8244,                0.48088,                0.93812,             0.00044296,             0.00044296,             0.00044296
                     29,                0.86779,                  0.519,                 0.9248,                0.81951,                0.79794,                 0.8287,                0.61159,                0.82016,                0.48108,                0.93863,             0.00041225,             0.00041225,             0.00041225
                     30,                0.85614,                0.51085,                0.92244,                0.85571,                0.79577,                0.84035,                0.62188,                 0.8178,                0.47362,                0.93535,              0.0003819,              0.0003819,              0.0003819
                     31,                0.84891,                0.50874,                0.92081,                0.80989,                0.80033,                0.83111,                0.60905,                0.81499,                0.47317,                0.93543,             0.00035204,             0.00035204,             0.00035204
                     32,                0.84832,                0.50209,                0.91458,                0.85448,                0.78819,                0.83948,                0.61987,                0.81214,                0.46651,                0.93713,             0.00032278,             0.00032278,             0.00032278
                     33,                0.84185,                  0.501,                0.91723,                0.82319,                0.80636,                0.83864,                0.61901,                0.80903,                0.46781,                0.93585,             0.00029424,             0.00029424,             0.00029424
                     34,                0.82899,                0.49073,                0.91153,                 0.8291,                0.80049,                0.83674,                0.61894,                0.80279,                 0.4654,                0.93326,             0.00026653,             0.00026653,             0.00026653
                     35,                0.83807,                0.49581,                0.91388,                0.84152,                0.80261,                0.84276,                0.62825,                0.80241,                0.45975,                  0.934,             0.00023977,             0.00023977,             0.00023977
                     36,                0.82427,                0.48664,                0.91074,                0.83018,                0.80963,                0.84456,                0.62784,                0.79813,                0.45816,                0.93358,             0.00021405,             0.00021405,             0.00021405
                     37,                0.81918,                0.48189,                0.90749,                 0.8246,                0.81642,                0.84538,                0.62971,                0.79534,                0.45671,                0.93175,             0.00018948,             0.00018948,             0.00018948
                     38,                 0.8182,                0.48578,                0.90835,                0.82869,                0.80663,                0.84699,                0.63337,                0.79473,                0.45627,                0.93109,             0.00016615,             0.00016615,             0.00016615
                     39,                 0.8219,                0.48881,                0.91189,                0.84413,                0.80445,                0.84812,                0.63702,                0.79277,                0.45493,                 0.9294,             0.00014416,             0.00014416,             0.00014416
                     40,                0.76418,                0.43557,                0.89466,                0.82396,                0.80401,                0.83979,                0.62483,                0.80106,                0.46052,                0.93444,              0.0001236,              0.0001236,              0.0001236
                     41,                  0.754,                0.43102,                0.89224,                0.82768,                0.80973,                0.83911,                0.62827,                0.79962,                0.45858,                0.93279,             0.00010454,             0.00010454,             0.00010454
                     42,                0.75049,                0.42871,                0.89134,                0.83162,                0.81027,                0.84257,                0.62813,                0.79534,                0.45805,                0.93021,             8.7058e-05,             8.7058e-05,             8.7058e-05
                     43,                0.74847,                0.42695,                0.88888,                0.83192,                0.80958,                0.84321,                0.63076,                0.79607,                0.45463,                0.93202,             7.1228e-05,             7.1228e-05,             7.1228e-05
                     44,                0.74371,                0.42255,                0.88745,                0.83206,                0.81524,                0.84568,                0.63157,                0.78923,                0.45255,                0.92915,             5.7111e-05,             5.7111e-05,             5.7111e-05
                     45,                0.74328,                0.42351,                0.88926,                 0.8344,                0.81486,                0.84633,                0.63462,                0.78874,                0.45201,                0.92986,             4.4761e-05,             4.4761e-05,             4.4761e-05
                     46,                0.73859,                0.41817,                0.88817,                 0.8267,                0.81841,                0.84627,                0.63593,                0.78771,                0.45279,                0.92899,             3.4227e-05,             3.4227e-05,             3.4227e-05
                     47,                0.73701,                 0.4189,                0.88533,                0.83159,                  0.819,                0.84727,                0.63663,                0.78675,                0.45142,                0.92907,             2.5551e-05,             2.5551e-05,             2.5551e-05
                     48,                0.73632,                0.41708,                0.88611,                 0.8301,                0.82245,                0.84708,                 0.6369,                0.78564,                0.44967,                0.92874,             1.8768e-05,             1.8768e-05,             1.8768e-05
                     49,                0.73205,                0.41679,                0.88583,                0.83416,                0.82145,                0.84767,                0.63667,                0.78514,                0.45018,                0.92835,             1.3903e-05,             1.3903e-05,             1.3903e-05
